listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
10,46,46,39,2,chopping food,slight-rustling-of-small-mouse-or-guinea-pig,coloring,0,low-intensity,0,0,1,0.2
10,46,114,7,2,chopping food,slight-rustling-of-small-mouse-or-guinea-pig,rubbing hands,0,low-intensity,0,0,1,0.2
10,47,126,12,6,kid speaking,child-speaking-English,kid speaking,1,3,0,0,0,0.4
10,47,231,48,6,kid speaking,child-speaking-English,kid speaking,1,3,0,0,0,0.4
10,48,46,2,6,train whistle,train-whistle,train whistle,1,high-intensity,0,0,0,0.4
10,48,115,30,6,train whistle,train-whistle,train whistle,1,high-intensity,0,0,0,0.4
10,49,128,35,1,banjo,slight-scratching-noise,tooth brushing,0,high-intensity,0,0,0,0
10,49,172,18,1,banjo,slight-scratching-noise,sipping,0,high-intensity,0,0,0,0
10,50,133,25,6,train passing by,sound-of-a-turbine-or-a-helicopter-blade,electric drill,0.5,high-intensity,1,0,1,0
10,50,162,22,6,train passing by,sound-of-a-turbine-or-a-helicopter-blade,train passing by,0.5,high-intensity,1,0,1,0
10,51,133,18,1,bowling,slight-rustling-noise,writing on paper,0,high-intensity,1,0,1,0.2
10,51,237,24,1,bowling,slight-rustling-noise,rubbing cloth,0,high-intensity,1,0,1,0.2
10,52,66,7,3,printing,sound-of-an-old-dot-matrix-printer--printing-a-line-at-a-time,printing,1,3,0,1,0,0.6
10,52,208,28,3,printing,sound-of-an-old-dot-matrix-printer--printing-a-line-at-a-time,printing,1,3,0,1,0,0.6
10,53,98,18,6,liquid pouring out of a bottle,popping-sound--also-sounds-of-ice-cubes,liquid pouring out of a bottle,1,2,0,0,0,0.4
10,53,200,23,6,liquid pouring out of a bottle,popping-sound--also-sounds-of-ice-cubes,liquid pouring out of a bottle,1,2,0,0,0,0.4
10,54,58,14,1,chair rolling,slight-movement-sound,chair rolling,1,low-intensity,1,1,1,0
10,54,206,44,1,chair rolling,slight-movement-sound,chair rolling,1,low-intensity,1,1,1,0
10,55,120,46,5,roulette wheel,ball-on-a-roulette-wheel-or-ball-on-a-pinball-machine,roulette wheel,1,2,0,0,0,0.6
10,55,148,39,5,roulette wheel,ball-on-a-roulette-wheel-or-ball-on-a-pinball-machine,roulette wheel,1,2,0,0,0,0.6
10,56,69,45,4,popcorn popping,sound-of-a-mechanical-toy,shuffling,0,3,0,0,0,0.4
10,56,227,43,4,popcorn popping,sound-of-a-mechanical-toy,ice machine,0,3,0,0,0,0.4
