listener,listener_trial,reverb_condition,sound_heard,natural_rating,typical_source_intensity,typical_source_location,distance_matched_subset
1,1,unaltered,grating_food,5,low-intensity,indoor,1.5
1,2,unaltered,blacksmith_hammering,2,high-intensity,outdoor,0
1,3,reverb,rattlesnake,3,low-intensity,outdoor,1.5
1,4,reverb,writing_on_paper,4,low-intensity,indoor,0
1,5,unaltered,jackhammer,5,high-intensity,outdoor,0
1,6,unaltered,race_car_passing_by,5,high-intensity,outdoor,0
1,7,reverb,dial_tone,3,low-intensity,indoor,1.5
1,8,reverb,swimming,3,low-intensity,outdoor,0
1,9,unaltered,explosion,3,high-intensity,outdoor,0
1,10,reverb,finger_tapping,3,low-intensity,outdoor,1.5
1,11,unaltered,ratchet,2,low-intensity,outdoor,NaN
1,12,reverb,walking_with_heels,4,low-intensity,outdoor,NaN
1,13,unaltered,dentist_drill,4,high-intensity,indoor,1.5
1,14,reverb,scream,2,high-intensity,outdoor,0
1,15,unaltered,chimes_in_the_wind,5,low-intensity,outdoor,0
1,16,reverb,whistle,4,high-intensity,outdoor,NaN
1,17,unaltered,wolf_howling,4,low-intensity,outdoor,0
1,18,unaltered,shower,3,low-intensity,indoor,1.5
1,19,reverb,film_reel_turning,4,low-intensity,indoor,0
1,20,reverb,radio_or_tv_static,1,low-intensity,indoor,0
1,21,unaltered,newspaper_rustling,2,low-intensity,outdoor,0
1,22,reverb,airconditioner,1,low-intensity,indoor,0
1,23,unaltered,sawing,4,low-intensity,outdoor,0
1,24,reverb,train_whistle,5,high-intensity,outdoor,0
1,25,unaltered,puppy_whining,5,low-intensity,outdoor,0
1,26,unaltered,heart_beat,2,low-intensity,outdoor,0
1,27,unaltered,songbird,3,low-intensity,outdoor,0
1,28,unaltered,crumpling_paper,5,low-intensity,outdoor,0
1,29,reverb,keys_jingling,2,low-intensity,outdoor,0
1,30,reverb,monkey_scream,2,high-intensity,outdoor,0
1,31,unaltered,coffee_machine,5,low-intensity,indoor,1.5
1,32,reverb,coin_in_vending_machine,3,low-intensity,outdoor,0
1,33,reverb,crow,3,low-intensity,outdoor,NaN
1,34,reverb,kettle_whistling,3,low-intensity,indoor,0
1,35,reverb,biting_and_chewing,1,low-intensity,outdoor,0
1,36,unaltered,electric_hand_drill,3,high-intensity,outdoor,0
1,37,unaltered,chainsaw_revving,4,high-intensity,outdoor,0
1,38,reverb,winding_up_a_device,4,low-intensity,outdoor,0
1,39,unaltered,cow_mooing,5,low-intensity,outdoor,1.5
1,40,reverb,cat_purring,3,low-intensity,outdoor,0
1,41,reverb,owl_hooting,3,low-intensity,outdoor,0
1,42,reverb,busaccelerating,5,low-intensity,outdoor,0
1,43,reverb,dishes_clanking,4,low-intensity,indoor,1.5
1,44,reverb,tennis_volley,4,low-intensity,outdoor,0
1,45,reverb,motorboat,3,high-intensity,outdoor,0
1,46,reverb,pig_snorting,3,low-intensity,outdoor,1.5
1,47,unaltered,lion_growl_and_roar,4,high-intensity,outdoor,0
1,48,unaltered,microwave_running,3,low-intensity,indoor,0
1,49,unaltered,hawk,4,low-intensity,outdoor,0
1,50,reverb,airhockey,2,low-intensity,indoor,0
1,51,unaltered,church_bells,4,high-intensity,outdoor,0
1,52,reverb,wind,1,low-intensity,outdoor,0
1,53,unaltered,cuckoo_clock,4,low-intensity,indoor,1.5
1,54,reverb,rotary_telephone_dialer,2,low-intensity,indoor,0
1,55,reverb,grunting_and_groaning,1,low-intensity,outdoor,1.5
1,56,unaltered,car_engine_starting,3,low-intensity,outdoor,0
1,57,reverb,spraying,1,low-intensity,outdoor,0
1,58,unaltered,tearing,5,low-intensity,outdoor,0
1,59,unaltered,car_idling,3,low-intensity,outdoor,0
1,60,reverb,waves_at_beach,2,low-intensity,outdoor,0
1,61,reverb,crowd_cheering,3,high-intensity,outdoor,0
1,62,unaltered,rubbing_hands,3,low-intensity,outdoor,0
1,63,unaltered,road_traffic,3,high-intensity,outdoor,0
1,64,unaltered,stream,4,low-intensity,outdoor,1.5
1,65,reverb,hair_dryer,4,low-intensity,indoor,1.5
1,66,reverb,spray_can_shaking,4,low-intensity,outdoor,NaN
1,67,reverb,blowing_on_bottle,2,low-intensity,outdoor,0
1,68,unaltered,squeaky_toy,3,low-intensity,outdoor,0
1,69,reverb,shoveling,1,low-intensity,outdoor,1.5
1,70,reverb,walking_on_leaves,4,low-intensity,outdoor,1.5
1,71,reverb,coloring,4,low-intensity,outdoor,0
1,72,unaltered,horse_galloping,2,low-intensity,outdoor,0
1,73,unaltered,walking_on_hard_surface,5,low-intensity,outdoor,0
1,74,reverb,bus_decelerating,2,low-intensity,outdoor,1.5
1,75,unaltered,gunfire,3,high-intensity,outdoor,0
1,76,reverb,coughing,3,low-intensity,outdoor,1.5
1,77,unaltered,pouring_liquid,3,low-intensity,outdoor,0
1,78,reverb,siren,3,high-intensity,outdoor,0
1,79,unaltered,door_knocking,5,low-intensity,outdoor,0
1,80,reverb,chair_rolling,2,low-intensity,indoor,1.5
1,81,reverb,dialup_internet,2,low-intensity,indoor,0
1,82,unaltered,bear,5,low-intensity,outdoor,0
1,83,unaltered,car_crash,3,high-intensity,outdoor,0
1,84,unaltered,pepper_grinder,4,low-intensity,indoor,0
1,85,reverb,train_warning_bell,3,high-intensity,outdoor,NaN
1,86,unaltered,chicken_clucking,4,low-intensity,outdoor,0
1,87,unaltered,crying,4,high-intensity,outdoor,1.5
1,88,reverb,motorcycle_reving,5,high-intensity,outdoor,0
1,89,unaltered,reception_desk_bell,2,low-intensity,indoor,0
1,90,unaltered,walking_on_gravel,5,low-intensity,outdoor,1.5
1,91,unaltered,turkey_gobble,3,low-intensity,outdoor,0
1,92,reverb,bulldozer,2,high-intensity,outdoor,0
1,93,reverb,gong,3,high-intensity,outdoor,0
1,94,unaltered,rooster,4,low-intensity,outdoor,0
1,95,reverb,ping_pong,4,low-intensity,indoor,1.5
1,96,unaltered,running_water,5,low-intensity,outdoor,0
1,97,unaltered,grandfather_clock_chimes,2,low-intensity,indoor,0
1,98,reverb,truck,3,high-intensity,outdoor,0
1,99,unaltered,car_power_windows,3,low-intensity,outdoor,0
1,100,reverb,crickets,4,low-intensity,outdoor,0
1,101,unaltered,bus,4,low-intensity,outdoor,0
1,102,unaltered,running_up_stairs,3,low-intensity,outdoor,NaN
1,103,reverb,geese,3,low-intensity,outdoor,0
1,104,unaltered,electric_shaver,3,low-intensity,indoor,0
1,105,unaltered,duck_quack,4,low-intensity,outdoor,0
1,106,reverb,balloondeflating,2,low-intensity,outdoor,0
1,107,reverb,slicing_bread,1,low-intensity,indoor,1.5
1,108,reverb,fire,2,low-intensity,outdoor,1.5
1,109,reverb,dog_panting,5,low-intensity,outdoor,NaN
1,110,reverb,boiling_water,1,low-intensity,indoor,0
1,111,reverb,flag_flapping,2,low-intensity,outdoor,0
1,112,reverb,blender,4,high-intensity,indoor,1.5
