listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
20,82,127,42,5,typing,person-typing-on-computer,typing,1,low-intensity,1,1,1,0.8
20,82,237,14,5,typing,person-typing-on-computer,typing,1,low-intensity,1,1,1,0.8
20,84,102,37,5,coloring,erasing-with-a-pencil,coloring,1,low-intensity,0,0,1,0.6
20,84,166,38,5,coloring,erasing-with-a-pencil,coloring,1,low-intensity,0,0,1,0.6
20,86,88,12,4,car idling,dead-air-when-driving-alone-in-a-car,car idling,0.5,low-intensity,1,1,1,0.4
20,86,246,32,4,car idling,dead-air-when-driving-alone-in-a-car,school hallway,0.5,low-intensity,1,1,1,0.4
20,90,120,26,4,hand saw,sawing,hand saw,1,high-intensity,1,0,1,0.6
20,90,203,10,4,hand saw,sawing,hand saw,1,high-intensity,1,0,1,0.6
20,91,57,24,2,fire alarm,backup-warning-sound-on-a-vehicle-or-in-a-secure-facility,fire alarm,0.5,high-intensity,1,0,1,0.4
20,91,252,7,2,fire alarm,backup-warning-sound-on-a-vehicle-or-in-a-secure-facility,train warning bell,0.5,high-intensity,1,0,1,0.4
20,93,70,33,4,coffee machine,ball-rolling-around-a-roulette-table,drinking,0,low-intensity,0,1,1,0.8
20,93,183,20,4,coffee machine,ball-rolling-around-a-roulette-table,castanet,0,low-intensity,0,1,1,0.8
20,100,132,21,6,whistle,ref's-whistle,whistle,1,high-intensity,1,0,1,0.6
20,100,251,16,6,whistle,ref's-whistle,whistle,1,high-intensity,1,0,1,0.6
20,102,59,29,6,leather coat,rustling-getting-up-from-a-couch-with-plastic-cover-on-it,shuffling,0.5,low-intensity,0,0,1,0.8
20,102,220,17,6,leather coat,rustling-getting-up-from-a-couch-with-plastic-cover-on-it,leather coat,0.5,low-intensity,0,0,1,0.8
20,109,99,41,4,key opening door,wood-tapping-on-a-table,knocking on door,0,low-intensity,0,0,1,0.6
20,109,172,14,4,key opening door,wood-tapping-on-a-table,chopping food,0,low-intensity,0,0,1,0.6
20,110,92,31,1,drawer closing,rustling--faint,newspaper page turning,0,low-intensity,0,0,1,0.6
20,110,150,35,1,drawer closing,rustling--faint,brushing hair,0,low-intensity,0,0,1,0.6
20,113,75,32,7,race car,being-lapped-on-a-car-racetrack,race car,1,high-intensity,1,0,1,0.2
20,113,226,11,7,race car,being-lapped-on-a-car-racetrack,race car,1,high-intensity,1,0,1,0.2
20,114,97,36,3,opening a soda bottle,not-sure,sails flapping,0,low-intensity,0,0,1,0.2
20,114,158,2,3,opening a soda bottle,not-sure,shuffling,0,low-intensity,0,0,1,0.2
20,115,103,22,3,explosion,fireworks-going-off-in-distance,explosion,1,high-intensity,1,0,1,0.2
20,115,176,19,3,explosion,fireworks-going-off-in-distance,explosion,1,high-intensity,1,0,1,0.2
20,118,51,34,5,writing on paper,writing-with-a-marker-on-a-board,writing on paper,0.5,low-intensity,1,0,1,1
20,118,84,8,5,writing on paper,writing-with-a-marker-on-a-board,cicadas,0.5,low-intensity,1,0,1,1
20,121,70,3,4,turning a lock,walking-on-cement-with-heels,shuffling,0,low-intensity,0,0,1,1
20,121,146,44,4,turning a lock,walking-on-cement-with-heels,elevator door,0,low-intensity,0,0,1,1
20,127,59,34,1,glass shattering,faint-rutling,peeling,0,high-intensity,1,0,1,0.2
20,127,250,10,1,glass shattering,faint-rutling,stones tumbling,0,high-intensity,1,0,1,0.2
